sample	ploidy	purity	cellLine
B40	3.38257005350843	1	B40
B40_I	4.11415848159063	1	B40
B40_II	3.98111987361166	1	B40
B40_III	3.98767478799767	1	B40
NAI	3.2183697478262	1	NA
NAII	3.05008118927086	0.99	NA
NAIII	3.46632052372931	1	NA
NAIV	1.99863341156871	1	NA
NAV	3.54185971853471	1	NA
NAPool	3.51728327034966	0.99	NAPool
NAPool_I	3.01276869174094	1	NAPool
NAPool_II	2.97569741719868	1	NAPool
NAPool_III	2.99770721878691	1	NAPool
NB1	3.29075570445334	1	NB1
OA5	3.20553572280612	1	OA5
RPE	4	0.44	RPE
RPE_hTERT	2	0.32	RPE_hTERT
